name,price,image,category,description,rating,reviews,inStock,stockQuantity
Essence Mascara Lash Princess,9.99,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp,beauty,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,2.56,"[""Would not recommend!"", ""Very satisfied!"", ""Highly impressed!""]",True,99
Eyeshadow Palette with Mirror,19.99,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp,beauty,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",2.86,"[""Great product!"", ""Awesome product!"", ""Poor quality!""]",True,34
Powder Canister,14.99,https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp,beauty,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",4.64,"[""Would buy again!"", ""Highly impressed!"", ""Very dissatisfied!""]",True,89
Red Lipstick,12.99,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp,beauty,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",4.36,"[""Great product!"", ""Great product!"", ""Would buy again!""]",True,91
Red Nail Polish,8.99,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp,beauty,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",4.32,"[""Poor quality!"", ""Great product!"", ""Very unhappy with my purchase!""]",True,79
Calvin Klein CK One,49.99,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp,fragrances,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",4.37,"[""Very disappointed!"", ""Fast shipping!"", ""Not as described!""]",True,29
Chanel Coco Noir Eau De,129.99,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp,fragrances,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",4.26,"[""Highly impressed!"", ""Awesome product!"", ""Very happy with my purchase!""]",True,58
Dior J'adore,89.99,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp,fragrances,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",3.8,"[""Great value for money!"", ""Great value for money!"", ""Great product!""]",True,98
Dolce Shine Eau de,69.99,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp,fragrances,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",3.96,"[""Would buy again!"", ""Highly recommended!"", ""Very happy with my purchase!""]",True,4
Gucci Bloom Eau de,79.99,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp,fragrances,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",2.74,"[""Very dissatisfied!"", ""Very happy with my purchase!"", ""Highly impressed!""]",True,91
